sr,Tweets,id,len,date,source,likes,retweets
0,"RT @PEspinosaC: With little time left until #COP26, billions around the world look to their leaders to make the bold &amp; courageous decisions…",1440066107520348163,144,2021-09-20 21:31:29,Twitter for iPhone,0,96
1,RT @ClimateGroup: Race to Zero and Race to Resilience - Delivering on the Promise Of Paris: Every fraction counts is beginning now at #Clim…,1439995213100064772,140,2021-09-20 16:49:47,Twitter Web App,0,24
2,"RT @UN_Spokesperson: Today, I asked leaders to do what is needed to make sure #COP26 is a success and that it marks a true turning point -…",1439994653441511437,139,2021-09-20 16:47:33,Twitter Web App,0,54
3,Every fraction of a degree of global heating counts. #ClimateWeekNYC is a key opportunity for all stakeholders to s… https://t.co/QPFPePdApo,1439954046413156357,140,2021-09-20 14:06:12,Twitter Media Studio,86,41
4,Good news to coincide with this week's @UN General Assembly : 15 sectors of the global economy are meanwhile shifti… https://t.co/I1Tr37E4ez,1439901980747608070,140,2021-09-20 10:39:18,Twitter Web App,507,100
5,"See also the statement by @UN Secretary-General @antonioguterres on the #NDC Synthesis Report:
https://t.co/yN2Mvw47ZL",1438892052444557319,118,2021-09-17 15:46:13,Twitter Web App,61,30
6,"🚨#Breaking 

UN Climate Change just published a synthesis of countries’ climate action plans as communicated in the… https://t.co/uGhConz3Qv",1438887928718139400,140,2021-09-17 15:29:50,Twitter Web App,945,527
7,"RT @COP26: At #UNGA, we are calling on developed countries to come forward with more ambitious finance commitments 👇

#COP26 | #ClimateActi…",1438862486275596289,140,2021-09-17 13:48:44,Twitter Web App,0,132
8,"RT @COP26: Don't miss the opening day of #ClimateWeekNYC 🌎

Join @AlokSharma_RDG, @PEspinosaC and @hlcchampions as they discuss the importa…",1438809303847215104,140,2021-09-17 10:17:24,Twitter for iPhone,0,75
9,Note to news media: We apologize for the technical probems relating to the #COP26 media registration list. The prob… https://t.co/FQXeTyQe2M,1438783099408691201,140,2021-09-17 08:33:16,Twitter Web App,103,44
